Date_Text,Language,Post_Type,Publisher,Title,Category,Description,mediaType,Viewes,Reads,Likes,Comments,Shares
"January 3rd 2021, 07:45:00.292",Bengali,news,BAARTATODAY,"????? ??????? ????? ???????????? ???????, ???????? ????????? ?????? ?????",,"??????????? ?? ???????????? ????????? ????????? ? ??????????? ??????? ??? ???? ?? ??????????, ?????? ??????? ??????? ????????? ?? ??????? ?? ???????????? ????????? ??? ???????? ????? ????????????? ???????? ????? ?????? ???? ????, ?????? ???????? ????? ???? ???? ?????? ???? ???? ??? ???????? ????? ?? ??? ? ????????? ????????? ????? ???????? ??? ????Read More ?",text,28,0,0,0,
"January 3rd 2021, 05:00:01.425",Malayalam,news,BraveIndiaNews,??????????? ?????????????????? ????????????????? ???? ???????? ???????: ????????????? ???????????? ???????????????? ???????? ?????????? ??????,,???????: ????????????? ???????????? ??.???.????? ?????? ?????????????? ????? ?????????????? ??.??.??. ?????????? ????.?????????? ??????. ??????????? ?????????????????? ????????????????? ??????????????? ??????????????? ???????? ???????????? ??????????? ??????? ?????? ???????? ??????????????????????????????? ????????. ????????????? ??????? ????? ??????????? ??????????? ???????????? ?????? ???????????????. ???????????????? ?????????? ?????????????? 400 ?????? ????????? ??? ?????????????? ??? ???? ?????????? ???????? ??????????? ?????? ??????????? ????????????? ???????????????????? ??????. ???????????? ?????????? ?????????????????? ????????????????? [?],text,28,0,0,0,
"January 3rd 2021, 17:00:01.168",Tamil,news,Oredesam,"??????? ??????? ?????????????? ????? 5, 6?? ????????? ?????????? ????????.",Top Stories,"???????, ?????????? ??????? ????????????, ????? 5, 6?? ????????? ????????? ??????????????  ?????? ?????? ????? ???????????????.",text,27,0,0,0,
"January 3rd 2021, 11:44:00.000",Marathi,author,Vasudeo Bidve,"??????????? : ??????, ?????????? ???",History,"??????? ??? ?????????? ??? '???????????' (Astronomy) ?? ????????? ?????????? ????????????? ?????? ??? ??????, ???? ?? ????? ????? ??? ????. ????????? ?????????? ???????? ???????? ?????? ?????? ??? ??????. ??????? ??????? ??? ??????? ?. ?. ????? ???? ????? ???? ????, ?? ??????? ???????? ??? ?. ?. ????? ???? ????? ???? ???? ???? ?????. ????? ?????? ?? ????? ???????? ?????? ???. ?????????? ??????, ????????????? ????????? ??? ????. ??????, ??????? ?? ????????? ??????? ?????? ???????? '??????' ?????? ??????? ??????? ????. ????? ??????? ??? ?? ??????-???????????? ?????? ?????? ????, ??????? ????????? ????????? ???. ?????, ?????????? ??????? ??????????? ???? ?. ?. ????? ?????? ???? ????? ???? ?????? ??????? ???????? ???? ??? ?????????? ???? ?? ???? ????????? ???? ????, ??? ???? ?? ??????? ?????? ???????, ??????? ?? ??????????? ?????? ?????? ?????? ???.",text,27,0,0,0,
"January 3rd 2021, 08:15:00.750",English,news,ANI,Kendall Jenner grooves on skating during snow-filled getaway,Top Stories,"New Delhi [India], January 3 (ANI): After ringing in the New Year with her sister Kylie Jenner, American star Kendall Jenner, on Sunday (local time) takes her feet on skating in the snow-filled slopes.",text,27,0,0,0,
"January 3rd 2021, 07:15:00.357",Malayalam,news,BraveIndiaNews,"????????? ?????????????? ?????????? ???????????? ??????????????? ????????????????? ???????? ???????????,? ?????? ?????????? ?????? ????????????? ???????? ???????? ??????????? ?????",,"??????????: ?????????? ????????? ???????? ??????? ?????????? ?????????????? ????????????????? ???????? ?????????. ???????? ??????????????????????????? ????????????? ???????? ??????????? ??????????????? ????????? ???????? ????????????????????. ???????? ???????????? ?????? ???????? ????????????? ???????????? -17 ?????? ??????????, ??-130 ?? ???????? ????????????? ??????. ????? ??????? ?????????? ????????. ?????????? ????????????? ????????? 28,947 ??????? ????????????? ?????????????????. ??????? ???????????? ?????? ????????? ? ??????? ?????????? ??????????????? ?????????????? ??-17 ?????? [?]",text,27,0,0,0,
"January 3rd 2021, 12:00:00.304",Hindi,news,Vishwavarta,"??? ?? ???? ??? ?? 4 ?????? ?? ???? ?? ?????? ???? ?? ??, ????? ???? ?? ??? ?????? ?? ?????",Top Stories,"???????? ?? ???? ???? ?? ????? ???? ??? ??? ??? ????-???? ?????? ?? ???? ?? ?? ???? ?? ?? ???? ???? ??? ???? ???? ??? ???? ?? ?? ???????? ??? ?????? ???? ????? ??? ??? ???? ?????? ????? ??? ???  ?????, ???? ??? ???? ???? ??? ??????? ???? ?? ??? ?? ?? ???? ??, ??? ?? ?? ?? ?????? ?? ??? ????? ??? ?? ???????? ??? ???? ??? ?????? ???? ??? ?? ??? ????? ??? ?? ?? ???? ???? ?? ????? ?? ????? ???? ?? ?????  ",text,27,2,0,0,
"January 3rd 2021, 13:45:00.138",Hindi,news,India TV,"Delhi Corona update: ?????? ??? ?????? ????? ??????? ?? 424 ?? ?????, ??? ??? ??? ???? ??",Top Stories,"????????? ??????? ?????? ??? ?????? (3 ?????) ?? ?????? ????? ??????? ?? 424 ?? ????? ????? ??, ?? ??? ??? ?? ?? ???? ??? ??? ?? ?? ?? ???? ?? ?????? ???",text,27,1,0,0,
"January 3rd 2021, 10:45:31.000",Bengali,youtube,Zee 24 Ghanta,"????? ??????? ?????? ? ?? Vaccine ? ????????, ??? ?? ?????? ???? ???? ?? ????? ??????????? ?????",Political & General News,"????? ??????? ?????? ? ?? Vaccine ? ????????, ??? ?? ?????? ???? ???? ?? ????? ??????????? ????? ????? ??????? ?????? ? ?? ????????? ????????, ??? ?? ?????? ...",video,26,0,0,0,
"January 3rd 2021, 12:15:00.719",Malayalam,news,BraveIndiaNews,??????????????? ???????; ?????????????? ??????? ??? ?????????????,,??????? ????????????? ?????????? ?????????????? ??????? ????? ????????????? ???????????????. ???????????? ?????????????????? ???????? ?????????????? ???????. ?????? ????? ???????? ????????????? ?????????? ???? ??????????????? ?????????????? ??????? ????????????. ????? ????? ????????????? ????????????????????. ??????????????? ????????? ?????? ???????? ????????????????????? ??????? ??????? ???????????? ?????????????. ?????? ????????? ?????? 19 ?????????????? ?????????????????? ???????????? ???????? ???? ?????????????.,text,26,0,0,0,
"January 3rd 2021, 13:30:01.755",Malayalam,news,Janmabhumi,??????????? ????????????????????? ?????? ?????? ??????????? ??????????????? ?????????,Top Stories,??????????? ????????????????????? ?????? ?????? ??????????? ??????????????? ????????? wayanad,text,26,0,0,0,
"January 3rd 2021, 15:03:00.000",Malayalam,news,Malayala Manorama,?????????? ???????? ?????????? ???????; ????????? ????????? ???????????,Political & General News,"????????? ????????????? ??????????????? ????????????????????? ?????????? ??????? ??????????? ?????????? ?????????????  ?????? ?????? ?????????? ??????? ???????
",text,26,4,0,0,
"January 3rd 2021, 12:45:01.960",Malayalam,news,BraveIndiaNews,???????????????? ????? ??????? ??????? ???????????? ?????; ???????? ??????? ?????? ???????? ?????????? ?????????????,,???????: ??????????????? ????? ??????? ??????? ???????????? ????. ???????? ????????? ?????? ???????? ?????????? ????????? ???? ???? ?????????? ????????????? ?????. ???????? ???????????? ????? ?????????????? ??????? ???????? ?????????? ??????? ???????. ?????????????? ??????????? ??????? ???????????????? ???? ??????????. ????????????????? ???????? ??????? ?????????????? ??????? ???? ????????????????? ??????? ??????. ???????????????????? ???????????????? ???????? ??????? ???????????? ????. ? ??????? ???????? ?????? ????? ??????? ???????????????? [?],text,26,0,0,0,
"January 3rd 2021, 13:00:01.382",Malayalam,news,BraveIndiaNews,"?????????? ???????? ?????????? ??? ?????, ?????????????? ??????????? 2000 ????????? ?????? ?????????? ; ?????????? ??????????????? ????? ?????????? ??????? ???????!!",,"???????; ?????????????? ??????????? 251 ?????????? ?????????????? ?????? ?????? ???????? ????????? ? ????????? ???? ???????? ????? ???? ?????. ??? ?????????????? ????? ??????????????? 10 ????? ??? ?????? ???????????? ???? ???????????????? ????????, ?????? ???????, ?????, ?????? ???? ??????? ??? ???????????? ????? ????? ???? ??????????? ??????????? ???? ? ????????. ??????????? ????? ??? ??????????? ???????????. ????????????? ????????????? ???????? ???????????? ??????? [?]",text,26,0,0,0,
"January 3rd 2021, 08:30:00.107",Malayalam,news,Janamtv,???????? ???????? ???? ????????? ??? ???????; ????? ????; ?????? ??????? ???????,Top Stories,????????: ???????????? ???  ??????? ????? ????? ???????. ?????? ????????? ???????????. ????? ???? ????????? ?????????? ?????  ????????.  ??? ??????,text,26,0,0,0,
"January 3rd 2021, 14:45:01.047",Malayalam,news,Janmabhumi,???????? ?????????????; ?????? ????? ?????? ???????? ????? ??? ??????????; ?????????? ?????????? ???? ?????? ????????,Top Stories,???????? ?????????????; ?????? ????? ?????? ???????? ????? ??? ??????????; ?????????? ?????????? ???? ?????? ???????? education. college,text,26,0,0,0,
"January 3rd 2021, 18:15:00.463",Hindi,news,Live Hindustan,NEET 2020: ???????! ???-????? ?? ??? ???? ????? ?? 19 ????? ?????? ???? ?? ??? ??,Top Stories,"???? ???????? ??? ???? ???? ???? ??? ????? ???? ?????? ?? ???? ?????? ?? ????? ????? ?? ???? ??? ??? ?? ?? ?? ?? ??? ??? ????? ?? ??? ?? 19 ????? ?? ???, ????? ?? ????? ???? ???? ?????????? ?? ??? ???? ?????? ???? ?? ???? ??? ?????? ???? ?? ??????? ?? ?? ????? ?? ?????? ?? ???????? ??????? ??? ???? ?? ??? ??-???? ????? ?? ?? ?? ?? ??? 2020 ??? ??? ??????? ??? ?? ??????? ?????? ??????? ??? ?????? ???? ???",text,26,0,0,0,
"January 3rd 2021, 10:32:37.000",Bengali,youtube,Zee 24 Ghanta,"Bharat Biotech ?? ???? Covaxine ? ??????? DCGI ??, ??? ???? Vaccination? ? ??????? ?? ????? ????",Political & General News,"Bharat Biotech ?? ???? Covaxine ? ??????? DCGI ??, ??? ???? Vaccination? ? ??????? ?? ????? ???? ???? ?????????? ???? ???????????? ???????, ??? ???? ...",video,26,0,0,0,
"January 3rd 2021, 11:45:01.957",Marathi,news,Maharashtra Desha,"""?????????? ???????????? ??????? ???? ?? ??????? ??? ??? ???""",Sports,": ???? ??????? ??? ????????????? ????? ????? ????? ????? ???. ???????? ?????? ? ???? ????? ????? ?? ????????? ???? ?? ????????????? ????????? ????? ???. ?? ?????? ????? ?????? ????????? ??????????? ????? ????, ??? ????? ???? ??? ???. ??????? ?????? ???? ????? ?????? ?????????? ??????? ????, ???? ?????????? ?????? ???? ??????????? ?????? ????????? ?????? ????? ???. ?????? ?????? ????? ??????? ????????????? ?????? ???? ???, ??? ????? ???? ??? ???. ?????? ??????? ?? ???????? ??????????  ?????????? ??????????? ?????? ????? ???? ???.",text,26,1,0,0,
"January 3rd 2021, 09:38:34.000",Telugu,youtube,Bharat Today,AP Minister Venugopala Krishna Reacts on Ramatheertham Incident | Tirumala,Political & General News,"AP Minister Venugopala Krishna Reacts on Ramatheertham Incident | Tirumala For More Latest News, Hindu Dharma Based News Updates : Subscribe To ...",video,26,0,0,0,
